 0.0000	  0.0003	 -0.0000
 0.0078	  0.0004	 -0.0000
 0.0156	  0.0006	  0.0000
 0.0234	  0.0007	  0.0000
 0.0312	  0.0008	  0.0000
 0.0391	  0.0009	  0.0000
 0.0469	  0.0010	  0.0000
 0.0547	  0.0010	  0.0000
 0.0625	  0.0011	  0.0000
 0.0703	  0.0011	  0.0000
 0.0781	  0.0012	  0.0000
 0.0859	  0.0012	  0.0000
 0.0938	  0.0012	  0.0000
 0.1016	  0.0012	  0.0000
 0.1094	  0.0012	  0.0000
 0.1172	  0.0012	  0.0000
 0.1250	  0.0012	  0.0000
 0.1328	  0.0012	  0.0000
 0.1406	  0.0012	  0.0000
 0.1484	  0.0012	  0.0000
 0.1562	  0.0011	  0.0000
 0.1641	  0.0011	  0.0000
 0.1719	  0.0010	  0.0000
 0.1797	  0.0009	  0.0000
 0.1875	  0.0009	  0.0000
 0.1953	  0.0008	 -0.0000
 0.2031	  0.0007	 -0.0000
 0.2109	  0.0006	 -0.0000
 0.2188	  0.0005	 -0.0000
 0.2266	  0.0004	 -0.0000
 0.2344	  0.0003	 -0.0000
 0.2422	  0.0002	 -0.0000
 0.2500	  0.0001	 -0.0000
 0.2578	  0.0000	 -0.0000
 0.2656	 -0.0001	 -0.0000
 0.2734	 -0.0002	 -0.0000
 0.2812	 -0.0002	 -0.0000
 0.2891	 -0.0003	 -0.0000
 0.2969	 -0.0004	 -0.0000
 0.3047	 -0.0005	 -0.0000
 0.3125	 -0.0005	 -0.0000
 0.3203	 -0.0006	 -0.0000
 0.3281	 -0.0006	 -0.0000
 0.3359	 -0.0007	 -0.0000
 0.3438	 -0.0007	 -0.0000
 0.3516	 -0.0008	 -0.0000
 0.3594	 -0.0008	 -0.0000
 0.3672	 -0.0008	 -0.0000
 0.3750	 -0.0008	 -0.0000
 0.3828	 -0.0008	 -0.0000
 0.3906	 -0.0008	 -0.0000
 0.3984	 -0.0008	 -0.0000
 0.4062	 -0.0008	 -0.0000
 0.4141	 -0.0007	 -0.0000
 0.4219	 -0.0007	  0.0000
 0.4297	 -0.0007	  0.0000
 0.4375	 -0.0006	  0.0000
 0.4453	 -0.0006	  0.0000
 0.4531	 -0.0005	  0.0000
 0.4609	 -0.0005	  0.0000
 0.4688	 -0.0004	  0.0000
 0.4766	 -0.0004	  0.0000
 0.4844	 -0.0003	  0.0000
 0.4922	 -0.0003	  0.0000
 0.5000	 -0.0002	  0.0000
 0.5078	 -0.0002	  0.0000
 0.5156	 -0.0001	  0.0000
 0.5234	 -0.0001	  0.0000
 0.5312	 -0.0001	  0.0000
 0.5391	 -0.0000	  0.0000
 0.5469	 -0.0000	  0.0000
 0.5547	  0.0000	  0.0000
 0.5625	  0.0000	  0.0000
 0.5703	  0.0000	  0.0000
 0.5781	  0.0000	  0.0000
 0.5859	  0.0001	  0.0000
 0.5938	  0.0001	  0.0000
 0.6016	  0.0001	  0.0000
 0.6094	  0.0000	  0.0000
 0.6172	  0.0000	  0.0000
 0.6250	  0.0000	 -0.0000
 0.6328	  0.0000	 -0.0000
 0.6406	 -0.0000	 -0.0000
 0.6484	 -0.0000	 -0.0000
 0.6562	 -0.0001	 -0.0000
 0.6641	 -0.0001	 -0.0001
 0.6719	 -0.0001	 -0.0001
 0.6797	 -0.0002	 -0.0001
 0.6875	 -0.0002	 -0.0001
 0.6953	 -0.0002	 -0.0001
 0.7031	 -0.0003	 -0.0001
 0.7109	 -0.0003	 -0.0001
 0.7188	 -0.0004	 -0.0001
 0.7266	 -0.0004	 -0.0001
 0.7344	 -0.0004	 -0.0001
 0.7422	 -0.0004	 -0.0001
 0.7500	 -0.0005	 -0.0001
 0.7578	 -0.0005	 -0.0002
 0.7656	 -0.0005	 -0.0002
 0.7734	 -0.0005	 -0.0002
 0.7812	 -0.0005	 -0.0002
 0.7891	 -0.0005	 -0.0002
 0.7969	 -0.0005	 -0.0002
 0.8047	 -0.0005	 -0.0001
 0.8125	 -0.0005	 -0.0001
 0.8203	 -0.0005	 -0.0001
 0.8281	 -0.0005	 -0.0001
 0.8359	 -0.0005	 -0.0001
 0.8438	 -0.0005	 -0.0001
 0.8516	 -0.0004	 -0.0000
 0.8594	 -0.0004	 -0.0000
 0.8672	 -0.0004	 -0.0000
 0.8750	 -0.0003	  0.0000
 0.8828	 -0.0003	  0.0000
 0.8906	 -0.0002	  0.0001
 0.8984	 -0.0002	  0.0001
 0.9062	 -0.0001	  0.0001
 0.9141	 -0.0001	  0.0001
 0.9219	 -0.0000	  0.0001
 0.9297	  0.0000	  0.0001
 0.9375	  0.0001	  0.0001
 0.9453	  0.0001	  0.0001
 0.9531	  0.0002	  0.0001
 0.9609	  0.0002	  0.0001
 0.9688	  0.0003	  0.0001
 0.9766	  0.0003	  0.0001
 0.9844	  0.0004	  0.0001
 0.9922	  0.0004	  0.0001
 1.0000	  0.0005	  0.0001
 1.0078	  0.0005	  0.0001
 1.0156	  0.0006	  0.0001
 1.0234	  0.0006	  0.0001
 1.0312	  0.0007	  0.0001
 1.0391	  0.0007	  0.0000
 1.0469	  0.0007	  0.0000
 1.0547	  0.0007	 -0.0000
 1.0625	  0.0008	 -0.0000
 1.0703	  0.0008	 -0.0001
 1.0781	  0.0008	 -0.0001
 1.0859	  0.0008	 -0.0001
 1.0938	  0.0008	 -0.0002
 1.1016	  0.0007	 -0.0002
 1.1094	  0.0007	 -0.0002
 1.1172	  0.0007	 -0.0003
 1.1250	  0.0007	 -0.0003
 1.1328	  0.0006	 -0.0003
 1.1406	  0.0006	 -0.0003
 1.1484	  0.0006	 -0.0004
 1.1562	  0.0005	 -0.0004
 1.1641	  0.0005	 -0.0004
 1.1719	  0.0004	 -0.0004
 1.1797	  0.0004	 -0.0004
 1.1875	  0.0004	 -0.0004
 1.1953	  0.0003	 -0.0004
 1.2031	  0.0003	 -0.0004
 1.2109	  0.0002	 -0.0004
 1.2188	  0.0001	 -0.0004
 1.2266	  0.0001	 -0.0004
 1.2344	  0.0000	 -0.0004
 1.2422	 -0.0000	 -0.0003
 1.2500	 -0.0001	 -0.0003
 1.2578	 -0.0001	 -0.0003
 1.2656	 -0.0002	 -0.0003
 1.2734	 -0.0002	 -0.0003
 1.2812	 -0.0003	 -0.0002
 1.2891	 -0.0003	 -0.0002
 1.2969	 -0.0003	 -0.0002
 1.3047	 -0.0004	 -0.0001
 1.3125	 -0.0004	 -0.0001
 1.3203	 -0.0004	 -0.0000
 1.3281	 -0.0004	  0.0000
 1.3359	 -0.0004	  0.0001
 1.3438	 -0.0004	  0.0001
 1.3516	 -0.0004	  0.0001
 1.3594	 -0.0004	  0.0002
 1.3672	 -0.0004	  0.0002
 1.3750	 -0.0004	  0.0003
 1.3828	 -0.0004	  0.0003
 1.3906	 -0.0005	  0.0003
 1.3984	 -0.0005	  0.0003
 1.4062	 -0.0005	  0.0004
 1.4141	 -0.0005	  0.0004
 1.4219	 -0.0005	  0.0004
 1.4297	 -0.0005	  0.0004
 1.4375	 -0.0005	  0.0004
 1.4453	 -0.0005	  0.0004
 1.4531	 -0.0006	  0.0005
 1.4609	 -0.0006	  0.0005
 1.4688	 -0.0006	  0.0005
 1.4766	 -0.0006	  0.0005
 1.4844	 -0.0006	  0.0005
 1.4922	 -0.0007	  0.0004
 1.5000	 -0.0007	  0.0004
 1.5078	 -0.0007	  0.0004
 1.5156	 -0.0007	  0.0004
 1.5234	 -0.0008	  0.0003
 1.5312	 -0.0008	  0.0003
 1.5391	 -0.0008	  0.0002
 1.5469	 -0.0008	  0.0002
